id,id_str,screen_name,location,description,url,followers_count,friends_count,listedcount,created_at,favourites_count,verified,statuses_count,lang,status,default_profile,default_profile_image,has_extended_profile,name,bot
3982731976.0,642,815,0,91,28,1129,7,2,727,0,False,23557,10,505,False,False,0,478,1
8.41e+17,834,114,0,0,28,0,22,0,239,0,False,1,10,96,True,True,0,450,1
2768374981.0,355,639,0,0,28,3,0,3,583,0,False,1050,10,397,True,False,0,866,1
3304189373.0,587,912,411,858,98,505,13,49,711,0,False,5109,10,688,False,False,0,971,1
3224289024.0,549,675,0,783,28,15,0,11,706,0,False,31365,11,819,True,False,0,1045,1
7.3e+17,743,708,66,578,309,16,1,4,353,0,False,1832,10,249,False,False,0,281,1
8.2e+17,816,180,427,0,28,41,394,0,237,3,False,4,10,117,True,False,1,260,1
2602217174.0,312,225,224,57,125,549,370,12,863,12,False,4658,10,634,False,False,0,783,1
8.33e+17,828,753,0,376,28,0,60,0,756,0,False,10,10,362,True,False,0,370,1
8.25e+17,820,340,0,748,28,0,43,4,521,48,False,86,10,357,True,False,0,204,1
2215073972.0,147,890,0,168,28,102,3,21,968,0,False,10873,10,782,True,False,0,219,1
2903085721.0,451,740,0,56,193,578,17,96,631,0,False,5234,10,645,False,False,0,1036,1
8.27e+17,822,412,0,850,28,1,34,0,994,68,False,98,10,368,True,False,0,409,1
2529023630.0,269,599,29,55,77,1456,12,122,1032,4,False,72096,10,627,False,False,0,849,1
4629779173.0,663,855,0,272,28,0,1,0,916,0,False,0,10,63,False,False,0,323,1
8.41e+17,834,803,204,0,28,14,253,0,218,2,False,0,10,308,True,False,0,488,1
1669431482.0,79,440,260,547,262,506,11,48,986,5,False,41052,10,756,True,False,0,321,1
3240509924.0,560,794,0,83,28,307,0,21,946,1,False,423,10,562,False,False,0,928,1
2553103718.0,276,671,0,705,28,518,5,51,680,0,False,94196,10,823,True,False,0,244,1
7.73e+17,772,253,0,0,28,0,118,0,778,0,False,0,10,63,True,True,0,377,1
715885903.0,23,41,0,0,369,1,4,0,46,22,False,4,3,323,True,True,0,11,1
2657893981.0,331,154,0,73,28,50,2,10,531,0,False,1228,10,581,True,False,0,206,1
4850719386.0,696,152,217,442,28,3,336,0,257,29,False,39,10,308,True,False,0,203,1
2580987373.0,299,787,0,559,63,394,0,48,691,0,False,7956,10,787,True,False,0,428,1
148727987.0,70,1023,116,712,134,428,410,13,363,630,False,16989,10,4,True,False,0,561,1
616485017.0,722,108,0,265,28,630,4,42,382,96,False,15036,10,130,False,False,0,259,1
3345365117.0,602,345,0,741,85,928,20,23,384,7,False,3421,10,451,True,False,0,554,1
2202165600.0,138,756,179,605,28,44,5,11,633,3,False,2396,10,726,True,False,0,145,1
2238074461.0,157,200,0,498,39,20,0,7,586,0,False,50,10,648,True,False,0,288,1
2865812463.0,422,292,341,74,179,5831,57,354,554,16,False,457649,10,488,False,False,0,443,1
7.19e+17,738,50,0,173,287,26,0,6,487,0,False,6832,10,895,True,False,0,52,1
2579497028.0,296,888,0,840,259,10014,27,326,378,0,False,14473,11,258,False,False,1,961,1
4827186013.0,681,228,315,496,269,8939,6003,516,103,710,False,5846,10,232,True,False,0,222,1
8.03e+17,802,195,373,467,28,2,386,0,185,28,False,41,10,308,True,False,0,282,1
2951514519.0,464,849,442,889,264,467,956,0,919,261,False,5748,10,409,False,False,0,497,1
2873849441.0,429,946,262,387,195,94,1,25,1037,0,False,2383,10,869,False,False,0,666,1
3772896857.0,636,1008,351,360,327,6664,1,196,453,0,False,6025,10,205,True,False,0,1013,1
8.03e+17,802,1025,248,632,28,0,335,0,190,24,False,32,10,308,True,False,0,1021,1
8.28e+17,823,344,0,822,368,4,0,1,287,0,False,1469,14,248,False,False,0,415,1
2834773720.0,408,802,0,477,28,37,35,8,567,0,False,9,10,644,True,False,0,442,1
8.23e+17,818,1035,266,726,28,0,247,0,82,28,False,24,10,308,True,False,0,1025,1
8.41e+17,834,474,256,333,28,14,214,0,221,0,False,3,10,113,True,False,1,779,1
2216000610.0,148,685,0,599,121,537,1,18,969,0,False,281,10,620,True,False,0,286,1
2837739489.0,411,88,258,598,166,284,66,30,638,0,False,5986,10,672,True,False,0,530,1
8.34e+17,829,183,0,0,28,0,27,0,1002,38,False,60,10,364,True,False,0,84,1
1917949477.0,102,463,0,499,82,80,0,29,828,0,False,10794,10,878,True,False,0,756,1
7.49e+17,759,1030,0,262,28,120,836,0,525,1,False,8,10,542,True,False,0,598,1
7.14e+17,735,981,426,869,28,293,344,2,322,0,False,8638,10,259,False,False,0,1001,1
7.7e+17,30,21,20,23,369,243,4,4,10,0,False,69595,1,316,True,False,0,28,1
2389455080.0,222,120,0,186,28,18,3,8,543,1,False,1456,10,742,True,False,0,150,1
7.95e+17,790,208,368,356,250,79,80,3,714,23,False,901,10,415,False,False,0,298,1
3227021524.0,552,635,394,428,131,576,31,60,350,8,False,2370,10,218,True,False,0,865,1
7.98e+17,793,357,0,305,28,2,42,1,629,29,False,39,10,358,True,False,0,566,1
4841400949.0,684,517,234,124,28,0,349,0,110,42,False,77,10,283,True,False,0,83,1
7.31e+17,744,566,41,561,246,21,0,7,549,0,False,1343,8,563,True,False,0,133,1
2194383865.0,134,416,365,729,28,16,1,4,886,1,False,2001,10,903,True,False,0,678,1
2836962348.0,410,62,0,833,28,239,0,53,1043,0,False,22089,10,800,True,False,0,810,1
2758649640.0,351,983,0,864,163,9968,2,185,653,3399,False,8782,10,603,False,False,0,1002,1
8.25e+17,820,598,280,739,28,0,223,0,99,24,False,24,10,308,True,False,0,848,1
8.28e+17,823,797,0,0,28,8,86,0,289,12,False,3,10,153,True,True,0,433,1
3257695526.0,569,525,0,51,28,906,2434,0,693,277,False,528,10,521,True,False,0,926,1
4854763634.0,698,810,147,268,28,1,352,0,280,29,False,33,10,279,True,False,0,932,1
2526900595.0,266,661,289,202,135,1419,1,61,365,5,False,32244,10,77,False,False,0,873,1
3297361261.0,580,963,204,659,28,39,0,0,412,1,False,303,10,443,True,False,1,693,1
345689601.0,622,399,231,483,302,835,2290,22,415,74533,False,17259,10,196,True,False,1,660,1
8.03e+17,802,293,295,216,28,2,360,0,184,27,False,60,10,308,True,False,0,444,1
873715682.0,841,417,0,482,28,856,1078,7,893,0,False,130262,10,424,True,False,0,589,1
2706729062.0,341,510,278,736,75,240,45,22,435,66,False,1993,10,136,False,False,0,70,1
2216213125.0,149,714,0,209,29,4213,0,220,970,0,False,4364,10,864,False,False,0,306,1
1890833028.0,93,638,115,562,28,77,490,0,734,1,False,15,10,444,False,False,0,528,1
8.03e+17,802,876,189,417,28,0,336,0,182,23,False,23,10,308,True,False,0,953,1
2567065662.0,288,568,0,789,28,172,5,21,688,5,False,3497,10,829,False,False,0,840,1
2538521768.0,271,313,0,48,71,213,0,38,768,0,False,1063,10,743,True,False,0,509,1
2794753213.0,372,684,57,768,300,379,12,38,729,0,False,22371,10,673,False,False,0,261,1
