Id,Bot
2281292622,0.0
2344040251,0.0
765871267,0.0
4772373433,0.0
1324548560,0.0
2561341789,0.0
347810134,0.0
856303860,0.0
832875000000000000,0.0
88856792,0.0
713557000000000000,0.0
1566746503,0.0
90420314,0.0
184910040,0.0
157690631,0.0
42420346,0.0
42382447,0.0
43993280,0.0
2305236733,0.0
742794000000000000,1.0
31348594,0.0
122085859,0.0
23573083,0.0
43152482,0.0
188857501,0.0
2911272579,0.0
35094637,0.0
146252766,0.0
85430866,0.0
55117855,0.0
827942000000000000,1.0
234837526,0.0
783000000000000000,0.0
2236911966,0.0
238706610,0.0
537915105,0.0
19058681,0.0
2568986838,0.0
3002601144,1.0
515652246,0.0
3411760894,1.0
34507480,0.0
1389883381,0.0
702010302,0.0
91425881,0.0
401790812,0.0
73992972,0.0
256722290,0.0
813286,0.0
5402612,0.0
742143,0.0
328539939,0.0
265430292,0.0
1257568902,0.0
132385468,0.0
211859777,0.0
827983208,0.0
72878717,1.0
28909448,0.0
43091065,0.0
50393960,0.0
807343000000000000,1.0
372561152,0.0
385100876,0.0
14920785,0.0
783048890,0.0
274656070,0.0
3041716769,1.0
2452513406,0.0
2575001119,0.0
845989000000000000,0.0
854348514,0.0
718745000000000000,0.0
2419524854,0.0
1389274284,1.0
705067000000000000,0.0
842061000000000000,0.0
69274980,0.0
116000361,0.0
1281901753,0.0
26436076,0.0
777991000000000000,0.0
350597282,0.0
153029178,0.0
64848375,1.0
165500655,0.0
16409683,0.0
142275422,0.0
21627372,0.0
106219812,0.0
203188566,0.0
100220864,0.0
331370908,0.0
280749815,0.0
1613648400,0.0
1473174745,0.0
456806128,0.0
1068121346,0.0
2893075037,0.0
414311965,0.0
415798356,0.0
17782745,0.0
770626380,0.0
749000000000000000,0.0
459483899,0.0
119509520,0.0
196267596,0.0
852763903,0.0
3433157163,0.0
759251,0.0
428333,0.0
1478891947,0.0
18863815,0.0
94707303,0.0
115485051,0.0
2727212335,1.0
237099368,0.0
3353453309,1.0
2716075003,0.0
3254849422,0.0
155659213,0.0
17822889,1.0
115551858,0.0
2216984384,1.0
1685674562,0.0
20978103,0.0
25521487,0.0
18695035,0.0
456862468,0.0
23976386,0.0
304932002,0.0
132309397,0.0
233532563,0.0
222622640,0.0
21111883,0.0
1249693405,0.0
3472594037,0.0
101695592,0.0
777000000000000000,1.0
1104552637,0.0
207247991,0.0
82066670,0.0
30268626,0.0
31127587,0.0
775000000000000000,0.0
834167000000000000,0.0
27195114,0.0
2499849926,0.0
103768104,0.0
24946505,0.0
2714673572,1.0
85452649,0.0
4481535434,0.0
258092952,0.0
943358419,0.0
2714207155,0.0
315519939,0.0
22940219,0.0
166739404,0.0
24568975,1.0
862483279,0.0
1360627633,1.0
173460266,0.0
21323153,0.0
2557521,0.0
3105588872,0.0
67761261,0.0
858183698,0.0
96951800,0.0
43393110,0.0
565191043,0.0
2969875259,1.0
234121917,0.0
756000000000000000,0.0
4915905545,0.0
825000000000000000,0.0
2571043022,0.0
705786000000000000,1.0
724027000000000000,0.0
318233704,1.0
3405098242,0.0
20536157,0.0
2565339643,0.0
163425239,0.0
795777000000000000,0.0
723974000000000000,0.0
2629389268,0.0
168837454,0.0
784040629,0.0
204941435,1.0
93023732,0.0
181561712,0.0
840688000000000000,0.0
53471080,0.0
3762458901,0.0
3297340437,0.0
529764127,0.0
854430271,0.0
4438807636,0.0
736498000000000000,1.0
738606434,0.0
2546279960,0.0
